Orbiter1.MoonInertial.X   Orbiter1.MoonInertial.Y   Orbiter1.MoonInertial.Z   Orbiter2.MoonInertial.X   Orbiter2.MoonInertial.Y   Orbiter2.MoonInertial.Z   Orbiter3.MoonInertial.X   Orbiter3.MoonInertial.Y   Orbiter3.MoonInertial.Z   
-5190.625614339733        -1726.044959911553        -2579.534463607939        -645.9051443479548        -5798.90048302064         -8659.517757782422        5062.687439588117         -3098.351350665442        -4625.562274235825        
-5196.038262313945        -1756.974454038253        -2625.74228723612         -620.040196396847         -5801.13622620987         -8662.804410793731        5071.661973601716         -3074.016023353848        -4589.164485467685        
-5201.042920191278        -1787.766125089198        -2671.74402084091         -594.1654875363747        -5803.2825308959          -8665.956957515766        5080.424181750743         -3049.552334653214        -4552.574694663082        
-5205.645807927212        -1818.419831678388        -2717.539451469609        -568.2814251166565        -5805.339423728699        -8668.975438099063        5088.97143389484          -3024.959948829259        -4515.792405537795        
-5209.853017752568        -1848.935461479821        -2763.128409581521        -542.3884158556029        -5807.306930239545        -8671.859891038825        5097.301056815311         -3000.238530999864        -4478.817123170738        
-5213.670517382678        -1879.312929693609        -2808.51076675739         -516.4868658669002        -5809.185074842651        -8674.61035317686         5105.410333262524         -2975.387747300265        -4441.648354252568        
-5217.104153141277        -1909.552177589561        -2853.686433523195        -490.5771806881239        -5810.973880836216        -8677.226859703776        5113.296500978089         -2950.407265056449        -4404.28560734709         
-5220.159653000999        -1939.653171122889        -2898.655357282638        -464.6597653084755        -5812.67337040382         -8679.709444160777        5120.956751691207         -2925.296752967697        -4366.728393166122        
-5222.842629542356        -1969.615899619239        -2943.417520352697        -438.735024196576         -5814.283564615587        -8682.058138441556        5128.388230088342         -2900.055881298496        -4328.976224857848        
-5225.15858283297         -1999.440374524682        -2987.972938096675        -412.8033613281732        -5815.804483429471        -8684.272972794104        5135.588032755317         -2874.684322079644        -4291.028618310287        
-5227.112903229019        -2029.126628218102        -3032.32165714982         -386.8651802137174        -5817.236145692004        -8686.353975822305        5142.55320709126          -2849.18174932024         -4252.885092469718        
-5228.710874100667        -2058.67471288197         -3076.463753732824        -360.9208839258208        -5818.578569139587        -8688.30117448754         5149.280750193284         -2823.547839229926        -4214.54516967549         
-5229.957674483536        -2088.084699429048        -3120.399332048459        -334.9708751267608        -5819.831770399527        -8690.114594110084        5155.767607711154         -2797.782270452764        -4176.008376011479        
-5230.858381657716        -2117.356676481839        -3164.12852275715         -309.0155560957501        -5820.99576499057         -8691.794258370763        5162.010672671007         -2771.884724312404        -4137.274241675419        
-5231.4179736566          -2146.490749402205        -3207.651481527573        -283.0553287563089        -5822.070567324175        -8693.340189311974        5168.006784267302         -2745.854885070235        -4098.342301366793        
